Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-2-1,13
#1-2-2,11
#1-3-1,5
#1-4-1,4
#1-4-2,3
#1-5-1,10
#1-5-4,1
#1-a-2,3
#10-1-1,6
#10-2-1,11
#10-4-1,1
#10-4-2,3
#10-5-1,6
#10-6-1,2
#10-7-2,1
#10-7-3,1
#10-a-1,1
#10-b-1,1
#11-1-1,6
#11-2-1,4
#11-3-1,4
#11-4-1,1
#11-5-1,10
#11-6-1,4
#11-7-1,4
#11-b-1,1
#11-b-2,1
#2-1-1,3
#2-1-2,6
#2-2-1,5
#2-5-1,1
#2-a-1,1
#2-c-1,1
#3-1-1,10
#3-1-2,6
#3-2-1,5
#3-2-2,5
#3-3-1,3
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-4-2,1
#3-6-1,1
#3-7-1,3
#3-7-2,2
#3-8-2,2
#3-a-1,3
#3-b-1,4
#3-c-1,5
#4-1-1,20
#4-1-2,10
#4-2-1,3
#4-2-2,5
#4-3-1,4
#4-5-1,5
#4-a-1,4
#4-c-1,3
#5-2-1,50
#5-2-2,10
#5-3-1,2
#5-3-2,10
#5-4-1,24
#5-5-1,4
#5-5-2,3
#5-6-1,10
#5-a-1,5
#5-b-1,5
#6-1-1,6
#6-2-1,12
#6-3-1,3
#6-3-2,4
#6-4-1,1
#6-4-2,1
#6-5-1,1
#6-5-2,2
#6-6-1,1
#6-b-1,1
#7-1-1,10
#7-1-2,6
#7-3-1,1
#7-b-1,1
#8-1-1,1
#8-10-1,2
#8-10-2,10
#8-2-1,1
#8-3-1,1
#8-5-2,15
#8-6-1,5
#8-7-1,13
#8-9-1,2
#9-1-1,1
#9-2-1,2
#9-2-2,1
#9-3-2,1
#9-5-1,1
#9-5-2,1
#9-b-1,1
#9-c-1,3
