Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Total deaths and disappearances recorded during migration [10.7.3],,Number,,2
2016,Total deaths and disappearances recorded during migration [10.7.3],,Number,,2
2017,Total deaths and disappearances recorded during migration [10.7.3],,Number,,5
2018,Total deaths and disappearances recorded during migration [10.7.3],,Number,,6
2019,Total deaths and disappearances recorded during migration [10.7.3],,Number,,3
2020,Total deaths and disappearances recorded during migration [10.7.3],,Number,,0
2021,Total deaths and disappearances recorded during migration [10.7.3],,Number,,0
2022,Total deaths and disappearances recorded during migration [10.7.3],,Number,,0
2023,Total deaths and disappearances recorded during migration [10.7.3],,Number,,0
2024,Total deaths and disappearances recorded during migration [10.7.3],,Number,,1
