Year,Observation status,Unit multiplier,COMMENT_OBS,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,274.6
2015,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,296.6
2016,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,338.8
2017,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,284.8
2018,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,310.9
2019,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,306.6
2020,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,299.0
2021,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,136.8
2022,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,339.7
2023,Normal value,Units,"Refers to Public Expenditure on Recreation, Culture and Religion","Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,2023,,430.3
