Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.6
2015,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.9
2016,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.6
2017,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,33.8
2018,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,41.0
2019,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,43.5
2020,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,43.0
2021,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,46.8
2022,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,52.1
2023,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Watts per capita,Normal value,Units,2023,Total installed capacity minus thermal = renewable energy,Economic Survey,,51.1
