Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,28.8
2022,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,28.0
2014,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Rural,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,27.3
2022,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Rural,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,25.4
2014,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Urban,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,29.9
2022,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,,Urban,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,25.4
2014,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Female,,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,22.7
2022,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Female,,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,28.1
2014,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Male,,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,33.9
2022,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months",,Male,,Percent,Normal value,Units,2022,To be run for population aged 15 to 59 from 2022 KDHS,KDHS,,22.4
