Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2020,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,Normal value,Units,2024,,105
2021,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,Normal value,Units,2024,,54
2022,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,Normal value,Units,2024,,18
2023,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,Normal value,Units,2024,,64
2024,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,Normal value,Units,2024,,68
2020,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,0
2021,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,0
2022,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,0
2023,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,0
2024,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,6
2020,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,96
2021,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,36
2022,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,12
2023,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,5
2024,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,25
2020,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,0
2021,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,0
2022,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,0
2023,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,1
2024,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,17
2020,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,6
2021,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,14
2022,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,3
2023,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,48
2024,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,Normal value,Units,2024,,14
2020,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,1
2021,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,4
2022,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,3
2023,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,9
2024,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,4
2020,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,2
2021,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,0
2022,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,0
2023,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,1
2024,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,Normal value,Units,2024,,2
