Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2015,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,97.9
2016,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,98.8
2017,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,95.5
2018,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,98.9
2019,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,121.9
2020,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,86.7
2021,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,121.7
2022,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,112.5
2023,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Recurrent,,Percent,2023,,119.6
2015,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,83.6
2016,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,70.7
2017,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,82.2
2018,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,73.4
2019,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,104.4
2020,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,102.2
2021,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,86.3
2022,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,73.7
2023,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget- Development,,Percent,2023,,63.8
2015,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,93.2
2016,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,90.3
2017,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,91.5
2018,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,92.7
2019,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,118.0
2020,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,89.9
2021,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,112.0
2022,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,103.6
2023,Normal value,Units,Economic Survey,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,2023,,106.8
