Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,GeoCode,Value
2014,Proportion of individuals using the Internet [17.8.1],,,,,Percent,Normal value,Units,2019,Population aged 3 years and above,,6.3
2016,Proportion of individuals using the Internet [17.8.1],,,,,Percent,Normal value,Units,2019,Population aged 3 years and above,,16.6
2019,Proportion of individuals using the Internet [17.8.1],,,,,Percent,Normal value,Units,2019,Population aged 3 years and above,,22.7
2019,Proportion of individuals using the Internet [17.8.1],,,,Rural,Percent,Normal value,Units,2019,Population aged 3 years and above,,13.8
2019,Proportion of individuals using the Internet [17.8.1],,,,Urban,Percent,Normal value,Units,2019,Population aged 3 years and above,,42.6
2019,Proportion of individuals using the Internet [17.8.1],,,75 years old and over,,Percent,Normal value,Units,2019,Population aged 3 years and above,,4.2
2019,Proportion of individuals using the Internet [17.8.1],,,10 to 14 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,4.0
2019,Proportion of individuals using the Internet [17.8.1],,,15 to 19 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,18.9
2019,Proportion of individuals using the Internet [17.8.1],,,20 to 24 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,48.2
2019,Proportion of individuals using the Internet [17.8.1],,,25 to 29 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,47.9
2019,Proportion of individuals using the Internet [17.8.1],,,30 to 34 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,41.0
2019,Proportion of individuals using the Internet [17.8.1],,,35 to 39 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,37.9
2019,Proportion of individuals using the Internet [17.8.1],,,(3-4),,Percent,Normal value,Units,2019,Population aged 3 years and above,,2.1
2019,Proportion of individuals using the Internet [17.8.1],,,40 to 44 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,32.4
2019,Proportion of individuals using the Internet [17.8.1],,,45 to 49 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,28.8
2019,Proportion of individuals using the Internet [17.8.1],,,50 to 54 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,26.1
2019,Proportion of individuals using the Internet [17.8.1],,,55 to 59 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,20.8
2019,Proportion of individuals using the Internet [17.8.1],,,5 to 9 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,2.7
2019,Proportion of individuals using the Internet [17.8.1],,,60 to 64 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,15.1
2019,Proportion of individuals using the Internet [17.8.1],,,65 to 69 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,10.6
2019,Proportion of individuals using the Internet [17.8.1],,,70 to 74 years old,,Percent,Normal value,Units,2019,Population aged 3 years and above,,7.6
2019,Proportion of individuals using the Internet [17.8.1],,Female,,,Percent,Normal value,Units,2019,Population aged 3 years and above,,20.2
2019,Proportion of individuals using the Internet [17.8.1],,Male,,,Percent,Normal value,Units,2019,Population aged 3 years and above,,25.2
