Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2014,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,26.0
2016,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,34.7
2022,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,17.6
2014,Proportion of children moderately or severely stunted [2.2.1],,,Rural,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,29.1
2016,Proportion of children moderately or severely stunted [2.2.1],,,Rural,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,36.7
2022,Proportion of children moderately or severely stunted [2.2.1],,,Rural,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,20.3
2014,Proportion of children moderately or severely stunted [2.2.1],,,Urban,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,19.8
2016,Proportion of children moderately or severely stunted [2.2.1],,,Urban,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,25.2
2022,Proportion of children moderately or severely stunted [2.2.1],,,Urban,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,12.1
2014,Proportion of children moderately or severely stunted [2.2.1],,Female,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,22.3
2016,Proportion of children moderately or severely stunted [2.2.1],,Female,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,31.5
2022,Proportion of children moderately or severely stunted [2.2.1],,Female,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,15.6
2014,Proportion of children moderately or severely stunted [2.2.1],,Male,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,29.7
2016,Proportion of children moderately or severely stunted [2.2.1],,Male,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,37.9
2022,Proportion of children moderately or severely stunted [2.2.1],,Male,,Percent,Normal value,Units,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,19.6
