Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SH_STA_WAST,,,,PT,A,0,,4.0
2016,SH_STA_WAST,,,,PT,A,0,,6.3
2022,SH_STA_WAST,,,,PT,A,0,,4.9
2014,SH_STA_WAST,,,R,PT,A,0,,4.4
2016,SH_STA_WAST,,,R,PT,A,0,,6.5
2022,SH_STA_WAST,,,R,PT,A,0,,5.3
2014,SH_STA_WAST,,,U,PT,A,0,,3.4
2016,SH_STA_WAST,,,U,PT,A,0,,5.1
2022,SH_STA_WAST,,,U,PT,A,0,,4.0
2014,SH_STA_WAST,,F,,PT,A,0,,3.7
2016,SH_STA_WAST,,F,,PT,A,0,,5.8
2022,SH_STA_WAST,,F,,PT,A,0,,4.3
2014,SH_STA_WAST,,M,,PT,A,0,,4.4
2016,SH_STA_WAST,,M,,PT,A,0,,6.7
2022,SH_STA_WAST,,M,,PT,A,0,,5.4
2014,SN_STA_OVWGT,,,,PT,A,0,,22.7
2016,SN_STA_OVWGT,,,,PT,A,0,,4.9
2022,SN_STA_OVWGT,,,,PT,A,0,,3.2
2014,SN_STA_OVWGT,,,R,PT,A,0,,18.8
2022,SN_STA_OVWGT,,,R,PT,A,0,,2.8
2014,SN_STA_OVWGT,,,U,PT,A,0,,28.6
2022,SN_STA_OVWGT,,,U,PT,A,0,,4.0
2014,SN_STA_OVWGT,,F,,PT,A,0,,3.5
2016,SN_STA_OVWGT,,F,,PT,A,0,,6.5
2022,SN_STA_OVWGT,,F,,PT,A,0,,3.6
2014,SN_STA_OVWGT,,M,,PT,A,0,,4.7
2016,SN_STA_OVWGT,,M,,PT,A,0,,4.7
2022,SN_STA_OVWGT,,M,,PT,A,0,,2.9
