Year,SERIES,Reference area,Occupation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,21.0
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,21.0
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,23.4
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,24.1
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,25.1
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,18.0
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2021,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2022,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2023,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,19.0
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,165.0
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,151.0
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,167.4
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,174.6
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,187.9
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,91.0
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,81.0
2021,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,99.0
2022,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",Normal value,Units,2023,Sourced from the Health Regulatory Bodies in Kenya,Economic Survey,,99.0
