Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,GeoCode,Value
2015,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,2023,,47.1
2017,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,2023,,71.1
2018,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,2023,,67.0
2019,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,2023,,76.1
2023,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,2023,,88.6
2015,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Reading,Percent,2023,,39.9
2018,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Reading,Percent,2023,,52.7
2023,Normal value,Units,2015: Uwezo Kenya Sixth Learning Assessment Report,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Reading,Percent,2023,,78.4
2018,Normal value,Units,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Lower secondary education,Skill: Mathematics,Percent,2018,,6.2
2018,Normal value,Units,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Lower secondary education,Skill: Reading,Percent,2018,,39.9
