Year,SERIES,Reference area,Education level,UNIT_MEASURE,GeoCode,Value
2014,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,,43.8
2015,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,,71.7
2016,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,,80.5
2019,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,,97.0
2020,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,,97.0
2023,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,,87.4
2020,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,,39.1
2022,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,,42.9
2014,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,,75.3
2015,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,,83.3
2016,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,,87.0
2021,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,,100.0
2024,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,,99.0
2020,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,,34.0
2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,,59.0
2021,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,,67.0
2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,,60.0
