Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Proportion of household using safely managed drinking water services,,,Percent,Normal value,Units,2022,,63.0
2016,Proportion of household using safely managed drinking water services,,,Percent,Normal value,Units,2022,,55.9
2022,Proportion of household using safely managed drinking water services,,,Percent,Normal value,Units,2022,,64.3
2014,Proportion of household using safely managed drinking water services,,Rural,Percent,Normal value,Units,2022,,49.9
2016,Proportion of household using safely managed drinking water services,,Rural,Percent,Normal value,Units,2022,,51.2
2022,Proportion of household using safely managed drinking water services,,Rural,Percent,Normal value,Units,2022,,58.7
2014,Proportion of household using safely managed drinking water services,,Urban,Percent,Normal value,Units,2022,,81.2
2016,Proportion of household using safely managed drinking water services,,Urban,Percent,Normal value,Units,2022,,61.9
2022,Proportion of household using safely managed drinking water services,,Urban,Percent,Normal value,Units,2022,,72.7
2014,Proportion of population using safely managed drinking water services [6.1.1],,,Percent,Normal value,Units,2022,,60.3
2016,Proportion of population using safely managed drinking water services [6.1.1],,,Percent,Normal value,Units,2022,,52.4
2022,Proportion of population using safely managed drinking water services [6.1.1],,,Percent,Normal value,Units,2022,,67.9
2014,Proportion of population using safely managed drinking water services [6.1.1],,Rural,Percent,Normal value,Units,2022,,48.1
2016,Proportion of population using safely managed drinking water services [6.1.1],,Rural,Percent,Normal value,Units,2022,,48.6
2022,Proportion of population using safely managed drinking water services [6.1.1],,Rural,Percent,Normal value,Units,2022,,56.3
2014,Proportion of population using safely managed drinking water services [6.1.1],,Urban,Percent,Normal value,Units,2022,,78.0
2016,Proportion of population using safely managed drinking water services [6.1.1],,Urban,Percent,Normal value,Units,2022,,60.0
2022,Proportion of population using safely managed drinking water services [6.1.1],,Urban,Percent,Normal value,Units,2022,,90.6
