Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,Proportion of households using safely managed sanitation services,,,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,22.7
2016,Proportion of households using safely managed sanitation services,,,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,28.3
2022,Proportion of households using safely managed sanitation services,,,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,38.2
2014,Proportion of households using safely managed sanitation services,,Rural,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,25.5
2016,Proportion of households using safely managed sanitation services,,Rural,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,29.5
2022,Proportion of households using safely managed sanitation services,,Rural,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,36.6
2014,Proportion of households using safely managed sanitation services,,Urban,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,20.6
2016,Proportion of households using safely managed sanitation services,,Urban,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,27.9
2022,Proportion of households using safely managed sanitation services,,Urban,Percent,Normal value,Units,2022,At least basic sanitation services which includes basic and safely managed sanitation services,"2014: KDHS,   2016: KIHBS,  2022:KDHS",,40.7
2014,Proportion of households with basic handwashing facilities on premises,,,Percent,Normal value,Units,2022,,2014: KDHS,,16.6
2016,Proportion of households with basic handwashing facilities on premises,,,Percent,Normal value,Units,2022,,2014: KDHS,,19.4
2022,Proportion of households with basic handwashing facilities on premises,,,Percent,Normal value,Units,2022,,2014: KDHS,,51.0
2014,Proportion of households with basic handwashing facilities on premises,,Rural,Percent,Normal value,Units,2022,,2014: KDHS,,25.7
2016,Proportion of households with basic handwashing facilities on premises,,Rural,Percent,Normal value,Units,2022,,2014: KDHS,,29.7
