Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,-0.6
2015,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,2.7
2016,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,0.4
2017,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,-1.0
2018,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,1.3
2019,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,0.2
2020,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,3.9
2021,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,2.2
2022,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,0.4
2023,Normal value,Units,Employment excludes small scale farming and pastoralist activities.,Economic Survey,Annual growth rate of real GDP per employed person [8.2.1],,Percent,2023,,1.1
