Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,34.5
2016,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,13.1
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,16.9
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,13.9
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,3.9
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,3.1
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,,Rural,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,3.3
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,,Urban,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,2.5
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,,10 to 14 years old,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,20.1
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,,10 to 14 years old,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,15.3
