Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,8882.0
2015,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,8993.2
2016,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,9791.9
2017,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,10118.2
2018,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,11721.7
2019,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,12011.0
2020,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,4450.1
2021,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,6703.0
2022,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,10239.0
2023,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,12206.0
2024,_L_KE_090102_01,,MOT_AIR,NUMBER,A,3,,12832.0
2014,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,1126.0
2015,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,5072.0
2016,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,2298.0
2017,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,2342.0
2018,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,3025.0
2019,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,3165.0
2020,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,1924.0
2021,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,930.0
2022,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,4731.0
2023,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,3390.0
2024,_L_KE_090102_01,,MOT_IWW_SEA,NUMBER,A,3,,5727.0
2014,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,3715.0
2015,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,2288.0
2016,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,2793.0
2017,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,3096.0
2018,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,4490.0
2019,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,5624.0
2020,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,2705.0
2021,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,6491.0
2022,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,5822.0
2023,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,6183.0
2024,_L_KE_090102_01,,MOT_RAI,NUMBER,A,3,,4971.0
2014,_L_KE_090102_02,,MOT_AIR,T,A,3,,279.4
2015,_L_KE_090102_02,,MOT_AIR,T,A,3,,263.0
2016,_L_KE_090102_02,,MOT_AIR,T,A,3,,249.5
2017,_L_KE_090102_02,,MOT_AIR,T,A,3,,290.8
2018,_L_KE_090102_02,,MOT_AIR,T,A,3,,358.7
2019,_L_KE_090102_02,,MOT_AIR,T,A,3,,374.7
2020,_L_KE_090102_02,,MOT_AIR,T,A,3,,321.6
2021,_L_KE_090102_02,,MOT_AIR,T,A,3,,375.8
2022,_L_KE_090102_02,,MOT_AIR,T,A,3,,375.0
2023,_L_KE_090102_02,,MOT_AIR,T,A,3,,380.0
2024,_L_KE_090102_02,,MOT_AIR,T,A,3,,374.0
2014,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,24875.0
2015,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,26732.0
2016,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,27384.0
2017,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,30245.0
2018,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,30934.0
2019,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,34458.0
2020,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,34162.0
2021,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,34605.2
2022,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,33939.0
2023,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,36143.0
2024,_L_KE_090102_02,,MOT_IWW_SEA,T,A,3,,41306.0
2014,_L_KE_090102_02,,MOT_RAI,T,A,3,,1509.0
2015,_L_KE_090102_02,,MOT_RAI,T,A,3,,1542.0
2016,_L_KE_090102_02,,MOT_RAI,T,A,3,,1380.0
2017,_L_KE_090102_02,,MOT_RAI,T,A,3,,1147.0
2018,_L_KE_090102_02,,MOT_RAI,T,A,3,,3544.0
2019,_L_KE_090102_02,,MOT_RAI,T,A,3,,4826.0
2020,_L_KE_090102_02,,MOT_RAI,T,A,3,,5063.0
2021,_L_KE_090102_02,,MOT_RAI,T,A,3,,6051.0
2022,_L_KE_090102_02,,MOT_RAI,T,A,3,,6877.0
2023,_L_KE_090102_02,,MOT_RAI,T,A,3,,7534.0
2024,_L_KE_090102_02,,MOT_RAI,T,A,3,,7561.0
