Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,91
2016,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,95
2017,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,95
2018,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,95
2019,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,96
2020,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,96
2021,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,96
2022,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,96
2023,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,97
2024,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,Normal value,Units,2024,,98
2014,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,61
2016,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,78
2017,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,85
2018,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,86
2019,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,93
2020,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,94
2021,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,95
2022,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,98
2023,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,98
2024,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,Normal value,Units,2024,,98
2017,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,25
2018,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,35
2019,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,57
2020,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,77
2021,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,94
2022,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,97
2023,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,98
2024,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,Normal value,Units,2024,,97
