Year,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,,Percent,Normal value,Units,2019,,45.0
2019,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,,Percent,Normal value,Units,2019,,47.7
2014,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Rural,Percent,Normal value,Units,2019,,56.0
2019,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Rural,Percent,Normal value,Units,2019,,56.7
2014,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Urban,Percent,Normal value,Units,2019,,19.0
2019,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Urban,Percent,Normal value,Units,2019,,22.1
2014,Proportion of population living in multidimensional poverty [1.2.2],,,,Percent,Normal value,Units,2019,,38.9
2019,Proportion of population living in multidimensional poverty [1.2.2],,,,Percent,Normal value,Units,2019,,50.8
2014,Proportion of population living in multidimensional poverty [1.2.2],,,Rural,Percent,Normal value,Units,2019,,48.4
2019,Proportion of population living in multidimensional poverty [1.2.2],,,Rural,Percent,Normal value,Units,2019,,61.9
2014,Proportion of population living in multidimensional poverty [1.2.2],,,Urban,Percent,Normal value,Units,2019,,20.3
2019,Proportion of population living in multidimensional poverty [1.2.2],,,Urban,Percent,Normal value,Units,2019,,25.8
2019,Proportion of population living in multidimensional poverty [1.2.2],,60 years old and over,,Percent,Normal value,Units,2019,,51.0
2019,Proportion of population living in multidimensional poverty [1.2.2],,under 18 years old,,Percent,Normal value,Units,2019,,47.7
2019,Proportion of population living in multidimensional poverty [1.2.2],,18-25,,Percent,Normal value,Units,2019,,53.7
2019,Proportion of population living in multidimensional poverty [1.2.2],,18-34 years,,Percent,Normal value,Units,2019,,51.0
2019,Proportion of population living in multidimensional poverty [1.2.2],,35-59,,Percent,Normal value,Units,2019,,57.9
