Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,15.6
2015,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,15.3
2016,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,14.3
2017,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,16.0
2018,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,14.5
2019,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,15.5
2020,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,17.9
2021,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,16.3
2022,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,15.9
2023,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,18.4
2024,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",,Percent,,18.7
2014,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,2.5
2015,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,1.7
2016,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,2.5
2017,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,2.4
2018,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,3.2
2019,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,3.5
2020,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,4.0
2021,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,3.3
2022,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,2.9
2023,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,2.8
2024,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,,3.0
2014,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,2.9
2015,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,3.7
2016,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,3.7
2017,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,3.8
2018,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,4.5
2019,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,4.9
2020,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,5.6
2021,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,5.8
2022,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,5.8
2023,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,5.5
2024,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,,5.6
