Year,SERIES,Reference area,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2020,Growth rates of household expenditure or income per capita [10.1.1],,,,Percent,,-2.0
2021,Growth rates of household expenditure or income per capita [10.1.1],,,,Percent,,-0.3
2022,Growth rates of household expenditure or income per capita [10.1.1],,,,Percent,,-0.49
2020,Growth rates of household expenditure or income per capita [10.1.1],,Rural,,Percent,,-1.3
2021,Growth rates of household expenditure or income per capita [10.1.1],,Rural,,Percent,,-1.3
2022,Growth rates of household expenditure or income per capita [10.1.1],,Rural,,Percent,,-1.38
2020,Growth rates of household expenditure or income per capita [10.1.1],,Urban,,Percent,,-3.9
2021,Growth rates of household expenditure or income per capita [10.1.1],,Urban,,Percent,,-0.3
2022,Growth rates of household expenditure or income per capita [10.1.1],,Urban,,Percent,,-0.47
2020,Growth rates of household expenditure or income per capita [10.1.1],,,Bottom 40%,Percent,,-0.3
2021,Growth rates of household expenditure or income per capita [10.1.1],,,Bottom 40%,Percent,,0.5
2022,Growth rates of household expenditure or income per capita [10.1.1],,,Bottom 40%,Percent,,0.1
2020,Growth rates of household expenditure or income per capita [10.1.1],,Rural,Bottom 40%,Percent,,-0.4
2021,Growth rates of household expenditure or income per capita [10.1.1],,Rural,Bottom 40%,Percent,,0.4
2022,Growth rates of household expenditure or income per capita [10.1.1],,Rural,Bottom 40%,Percent,,0.04
2020,Growth rates of household expenditure or income per capita [10.1.1],,Urban,Bottom 40%,Percent,,-2.3
2021,Growth rates of household expenditure or income per capita [10.1.1],,Urban,Bottom 40%,Percent,,-0.4
2022,Growth rates of household expenditure or income per capita [10.1.1],,Urban,Bottom 40%,Percent,,-0.03
