Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,GeoCode,Value
2014,Proportion of urban population living in slums (One Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that lacks one of the four housing conditions,,34.9
2019,Proportion of urban population living in slums (One Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that lacks one of the four housing conditions,,37.2
2014,Proportion of urban population living in slums (Two Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that lacks two of the four housing conditions,,23.2
2019,Proportion of urban population living in slums (Two Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that lacks two of the four housing conditions,,14.9
2014,Proportion of urban population living in slums(Three Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that three of the four housing conditions,,10.6
2019,Proportion of urban population living in slums(Three Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that three of the four housing conditions,,4.2
2014,Proportion of urban population living in slums (Four Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that lacks all the four housing conditions,,2.7
2019,Proportion of urban population living in slums (Four Shelter Deprivation),,Percent,Normal value,Units,2019,Proportion of urban population living in a household that lacks all the four housing conditions,,0.9
2014,Proportion of urban population living in slums (Any Shelter Deprivation) - Slum dwellers,,Percent,Normal value,Units,2019,"Proportion of urban population lacking at least one of the one of the four housing conditions (Access to improved water; Access to improved sanitation facilities; Sufficient-living area, not overcrowded;housing durability)",,71.4
2019,Proportion of urban population living in slums (Any Shelter Deprivation) - Slum dwellers,,Percent,Normal value,Units,2019,"Proportion of urban population lacking at least one of the one of the four housing conditions (Access to improved water; Access to improved sanitation facilities; Sufficient-living area, not overcrowded;housing durability)",,57.3
2014,Proportion of urban population living in slums [11.1.1],,Percent,Normal value,Units,2019,Proportion of urban population living in informal settlements,,7.9
2019,Proportion of urban population living in slums [11.1.1],,Percent,Normal value,Units,2019,Proportion of urban population living in informal settlements,,6.9
