Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2015,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.3
2016,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.1
2017,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.0
2018,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.0
2019,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.0
2020,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.0
2021,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.1
2022,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.13
2023,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.34
2024,"Proportion of the population who are refugees, by country of origin",,Percent,Normal value,Units,2024,,1.16
