Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2014,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,4.0
2015,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,4.0
2016,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,4.0
2017,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,4.0
2018,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,3.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,6.248384
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,6.264142
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,6.600935
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,6.145438
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,5.894157
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",,6.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",,4.792894
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",,4.405851
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",,3.595199
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",,3.444525
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",,3.372303
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"Per 100,000 population",,3.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",,7.733122
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",,8.371228
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",,9.655695
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",,8.679838
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",,8.458162
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Male,,"Per 100,000 population",,8.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",,4.502083
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",,1.563778
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",,1.90473
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",,2.068044
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",,1.237633
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",,1.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",,9.917627
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",,8.839462
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",,10.3637
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",,10.985157
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",,9.58398
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",,11.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",,7.71714
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",,10.755018
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",,10.167668
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",,8.681089
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",,9.89239
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,25-59,"Per 100,000 population",,9.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",,2.84618
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",,8.045948
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",,10.488346
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",,8.630603
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",,5.173989
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",,6.0
