Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,2022,,105
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,2022,,54
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",,Number,2022,,18
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,2022,,0
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,2022,,0
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of kidnappings of human rights defenders, journalists and trade unionists",,Number,2022,,0
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,2022,,96
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,2022,,36
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of arbitrary detentions of human rights defenders, journalists and trade unionists",,Number,2022,,12
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,2022,,0
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,2022,,0
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of torture of human rights defenders, journalists and trade unionists",,Number,2022,,0
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,2022,,6
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,2022,,14
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of violations of human rights of human rights defenders, journalists and trade unionists",,Number,2022,,3
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,2022,,1
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,2022,,4
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of killings of human rights defenders, journalists and trade unionists [16.10.1]",,Number,2022,,3
2020,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,2022,,2
2021,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,2022,,0
2022,Normal value,Units,Data was collected from 5 institutions dealing with Human Rights Defenders and Journalists : KNCHR; International Land Coalition; Defenders Coalition/Social Justice Centers Working Group; MUHURI; and Media Council of Kenya and verified by a committee led by KNCHR and KNBS,KNCHR,"Number of cases of enforced disappearance of human rights defenders, journalists and trade unionists [16.10.1]",,Number,2022,,0
