Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2014,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,56.3
2015,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,60.3
2016,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,60.8
2017,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,61.4
2018,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,62.5
2019,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,64.7
2020,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,66.0
2021,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,59.2
2022,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,60.8
2023,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,67.7
2024,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,Percent,,71.0
2014,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,57.6
2015,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,49.9
2016,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,47.6
2017,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,56.1
2018,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,53.4
2019,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,55.8
2020,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,53.1
2021,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,43.7
2022,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,62.1
2023,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,68.8
2024,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Female,Percent,,72.0
2014,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,56.2
2015,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,61.6
2016,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,62.2
2017,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,61.9
2018,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,63.5
2019,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,65.7
2020,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,67.3
2021,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,60.7
2022,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,49.3
2023,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,55.4
2024,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Male,Percent,,62.0
