Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
2015,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
2016,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
2017,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
2018,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
2019,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
2020,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
2021,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,72.7
2022,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,72.7
2023,Normal value,Units,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,2023,,63.6
