Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,"Personal transfers, received (% of GDP)",,Percent,,2.3
2015,"Personal transfers, received (% of GDP)",,Percent,,2.4
2016,"Personal transfers, received (% of GDP)",,Percent,,2.5
2017,"Personal transfers, received (% of GDP)",,Percent,,2.4
2018,"Personal transfers, received (% of GDP)",,Percent,,3.0
2019,"Personal transfers, received (% of GDP)",,Percent,,2.8
2020,"Personal transfers, received (% of GDP)",,Percent,,3.1
2021,"Personal transfers, received (% of GDP)",,Percent,,3.4
2022,"Personal transfers, received (% of GDP)",,Percent,,3.6
2023,"Personal transfers, received (% of GDP)",,Percent,,3.9
2024,"Personal transfers, received (% of GDP)",,Percent,,4.2
2014,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-10.4
2015,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-6.9
2016,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-5.8
2017,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-7.0
2018,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-5.4
2019,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-5.2
2020,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-3.3
2021,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-4.6
2022,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-4.2
2023,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-2.5
2024,Current account balance as a proportion of GDP (%) [17.13.1],,Percent,,-1.3
2014,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,1.3
2015,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.9
2016,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.6
2017,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,1.6
2018,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.8
2019,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.5
2020,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.0
2021,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.4
2022,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.7
2023,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.5
2024,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",,Percent,,0.4
2014,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,-3716.9
2015,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,155.1
2016,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,377.5
2017,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,731.1
2018,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,-649.0
2019,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,-458.1
2020,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,1313.3
2021,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,199.5
2022,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,706.7
2023,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,463.3
2024,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",,USD,,129.0
2014,Total reserves in months of imports,,Months,,5.0
2015,Total reserves in months of imports,,Months,,4.8
2016,Total reserves in months of imports,,Months,,5.0
2017,Total reserves in months of imports,,Months,,5.0
2018,Total reserves in months of imports,,Months,,5.3
2019,Total reserves in months of imports,,Months,,5.5
2020,Total reserves in months of imports,,Months,,4.9
2021,Total reserves in months of imports,,Months,,5.2
2022,Total reserves in months of imports,,Months,,4.0
2023,Total reserves in months of imports,,Months,,3.4
2024,Total reserves in months of imports,,Months,,4.4
2014,"Debt service on external debt, total (% exports and primary income)",,Percent,,15.2
2015,"Debt service on external debt, total (% exports and primary income)",,Percent,,6.8
2016,"Debt service on external debt, total (% exports and primary income)",,Percent,,9.0
2017,"Debt service on external debt, total (% exports and primary income)",,Percent,,12.3
2018,"Debt service on external debt, total (% exports and primary income)",,Percent,,19.8
2019,"Debt service on external debt, total (% exports and primary income)",,Percent,,41.7
2020,"Debt service on external debt, total (% exports and primary income)",,Percent,,23.8
2021,"Debt service on external debt, total (% exports and primary income)",,Percent,,17.5
2022,"Debt service on external debt, total (% exports and primary income)",,Percent,,18.4
2023,"Debt service on external debt, total (% exports and primary income)",,Percent,,20.5
2024,"Debt service on external debt, total (% exports and primary income)",,Percent,,30.6
2014,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,10.3
2015,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,46.2
2016,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,53.4
2017,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,60.3
2018,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,62.7
2019,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,64.1
2020,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,71.0
2021,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,70.6
2022,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,70.5
2023,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,80.6
2024,External debt stocks as a proportion of GNI (%) [17.13.1],,Percent,,66.2
2014,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,87.9
2015,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,98.7
2016,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,101.5
2017,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,103.4
2018,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,101.3
2019,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,102.1
2020,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,106.6
2021,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,109.9
2022,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,117.9
2023,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,139.9
2024,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,134.8
2014,Commodity Prices (Export/import),,Index,,73.1
2015,Commodity Prices (Export/import),,Index,,76.0
2016,Commodity Prices (Export/import),,Index,,78.8
2017,Commodity Prices (Export/import),,Index,,75.5
2018,Commodity Prices (Export/import),,Index,,68.0
