Year,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2019,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,> 100 Mbps - 1 Gbps,Per 100 population,Normal value,Units,2023,,0.007
2020,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,> 100 Mbps - 1 Gbps,Per 100 population,Normal value,Units,2023,,0.008
2021,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,> 100 Mbps - 1 Gbps,Per 100 population,Normal value,Units,2023,,0.01
2022,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,> 100 Mbps - 1 Gbps,Per 100 population,Normal value,Units,2023,,0.0089
2023,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,> 100 Mbps - 1 Gbps,Per 100 population,Normal value,Units,2023,,0.019
2019,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,>10 Mbps - <30 Mbps,Per 100 population,Normal value,Units,2023,,0.264
2020,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,>10 Mbps - <30 Mbps,Per 100 population,Normal value,Units,2023,,0.324
2021,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,>10 Mbps - <30 Mbps,Per 100 population,Normal value,Units,2023,,0.5119
2022,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,>10 Mbps - <30 Mbps,Per 100 population,Normal value,Units,2023,,0.559
2023,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,>10 Mbps - <30 Mbps,Per 100 population,Normal value,Units,2023,,0.812
2014,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,1 Mbps (< 2 mbps),Per 100 population,Normal value,Units,2018,,0.378
2015,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,1 Mbps (< 2 mbps),Per 100 population,Normal value,Units,2018,,0.075
2016,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,1 Mbps (< 2 mbps),Per 100 population,Normal value,Units,2018,,0.085
2017,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,1 Mbps (< 2 mbps),Per 100 population,Normal value,Units,2018,,0.043
2018,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,1 Mbps (< 2 mbps),Per 100 population,Normal value,Units,2018,,0.019
2014,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,256 Kbps,Per 100 population,Normal value,Units,2023,,0.014
2015,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,256 Kbps,Per 100 population,Normal value,Units,2023,,0.01
2016,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,256 Kbps,Per 100 population,Normal value,Units,2023,,0.003
2017,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,256 Kbps,Per 100 population,Normal value,Units,2023,,0.003
2018,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,256 Kbps,Per 100 population,Normal value,Units,2023,,0.001
2019,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,256 Kbps,Per 100 population,Normal value,Units,2023,,0.025
2020,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,256 Kbps,Per 100 population,Normal value,Units,2023,,0.023
