Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2016,Normal value,Units,"2016:  KIHBS, 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,,Percent,2022,,24.2
2019,Normal value,Units,"2016:  KIHBS, 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,,Percent,2022,,30.5
2020,Normal value,Units,"2016:  KIHBS, 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,,Percent,2022,,34.4
2021,Normal value,Units,"2016:  KIHBS, 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,,Percent,2022,,30.5
2022,Normal value,Units,"2016:  KIHBS, 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,,Percent,2022,,31.7
2019,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Rural,Percent,2022,,34.0
2020,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Rural,Percent,2022,,35.1
2021,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Rural,Percent,2022,,32.2
2022,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Rural,Percent,2022,,33.2
2019,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Urban,Percent,2022,,22.5
2020,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Urban,Percent,2022,,33.0
2021,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Urban,Percent,2022,,26.8
2022,Normal value,Units,"2016:  KIHBS , 2019-21: KCHS",Prevalence of undernourishment [2.1.1],,Urban,Percent,2022,,28.6
