Year,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SH_STA_MORT,,,,PER_100000_LIVE_BIRTHS,A,0,,362
2019,SH_STA_MORT,,,,PER_100000_LIVE_BIRTHS,A,0,,355
2019,SH_STA_MORT,,,R,PER_100000_LIVE_BIRTHS,A,0,,374
2019,SH_STA_MORT,,,U,PER_100000_LIVE_BIRTHS,A,0,,317
2019,SH_STA_MORT,,Y15T19,,PER_100000_LIVE_BIRTHS,A,0,,464
2019,SH_STA_MORT,,Y20T24,,PER_100000_LIVE_BIRTHS,A,0,,275
2019,SH_STA_MORT,,Y25T29,,PER_100000_LIVE_BIRTHS,A,0,,287
2019,SH_STA_MORT,,Y30T34,,PER_100000_LIVE_BIRTHS,A,0,,345
2019,SH_STA_MORT,,Y35T39,,PER_100000_LIVE_BIRTHS,A,0,,436
2019,SH_STA_MORT,,Y40T44,,PER_100000_LIVE_BIRTHS,A,0,,786
2019,SH_STA_MORT,,Y45T49,,PER_100000_LIVE_BIRTHS,A,0,,2219
