Year,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,,61.8
2016,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,,70.2
2022,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,,89.3
2014,Proportion of births attended by skilled health personnel [3.1.2],,,Rural,Percent,,50.4
2016,Proportion of births attended by skilled health personnel [3.1.2],,,Rural,Percent,,61.1
2022,Proportion of births attended by skilled health personnel [3.1.2],,,Rural,Percent,,84.8
2014,Proportion of births attended by skilled health personnel [3.1.2],,,Urban,Percent,,82.4
2016,Proportion of births attended by skilled health personnel [3.1.2],,,Urban,Percent,,87.5
2022,Proportion of births attended by skilled health personnel [3.1.2],,,Urban,Percent,,97.3
2014,Proportion of births attended by skilled health personnel [3.1.2],,15 to 19 years old,,Percent,,62.1
2016,Proportion of births attended by skilled health personnel [3.1.2],,15 to 19 years old,,Percent,,76.2
2022,Proportion of births attended by skilled health personnel [3.1.2],,15 to 19 years old,,Percent,,88.1
2014,Proportion of births attended by skilled health personnel [3.1.2],,20-34,,Percent,,63.1
2016,Proportion of births attended by skilled health personnel [3.1.2],,20-34,,Percent,,72.6
2022,Proportion of births attended by skilled health personnel [3.1.2],,20-34,,Percent,,90.2
2014,Proportion of births attended by skilled health personnel [3.1.2],,35 to 49 years old,,Percent,,53.9
2016,Proportion of births attended by skilled health personnel [3.1.2],,35 to 49 years old,,Percent,,63.2
2022,Proportion of births attended by skilled health personnel [3.1.2],,35 to 49 years old,,Percent,,85.2
