Year,SERIES,REF_AREA,SEX,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SE_TOT_CPLR,,,,_L_KE_3,PT,A,0,,31.3
2024,SE_TOT_CPLR,,,,_L_KE_3,PT,A,0,,41.2
2019,SE_TOT_CPLR,,,,ISCED11A_1,PT,A,0,,17.5
2024,SE_TOT_CPLR,,,,ISCED11A_1,PT,A,0,,14.2
2019,SE_TOT_CPLR,,,R,_L_KE_3,PT,A,0,,25.1
2024,SE_TOT_CPLR,,,R,_L_KE_3,PT,A,0,,37.9
2019,SE_TOT_CPLR,,,R,ISCED11A_1,PT,A,0,,18.0
2024,SE_TOT_CPLR,,,R,ISCED11A_1,PT,A,0,,15.6
2019,SE_TOT_CPLR,,,U,_L_KE_3,PT,A,0,,42.0
2024,SE_TOT_CPLR,,,U,_L_KE_3,PT,A,0,,47.1
2019,SE_TOT_CPLR,,,U,ISCED11A_1,PT,A,0,,16.1
2024,SE_TOT_CPLR,,,U,ISCED11A_1,PT,A,0,,9.9
2019,SE_TOT_CPLR,,F,,_L_KE_3,PT,A,0,,31.2
2024,SE_TOT_CPLR,,F,,_L_KE_3,PT,A,0,,40.4
2019,SE_TOT_CPLR,,F,,ISCED11A_1,PT,A,0,,17.4
2024,SE_TOT_CPLR,,F,,ISCED11A_1,PT,A,0,,12.8
2019,SE_TOT_CPLR,,M,,_L_KE_3,PT,A,0,,31.3
2024,SE_TOT_CPLR,,M,,_L_KE_3,PT,A,0,,42.2
2019,SE_TOT_CPLR,,M,,ISCED11A_1,PT,A,0,,17.6
2024,SE_TOT_CPLR,,M,,ISCED11A_1,PT,A,0,,15.5
