Year,SERIES,Reference area,Education level,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2021,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,67.0
2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,60.0
2014,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,75.3
2015,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,83.3
2016,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,87.0
2021,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,100.0
2024,"Proportion of schools with access to electricity, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,99.0
2014,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,43.8
2015,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,71.7
2016,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,80.5
2019,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,97.0
2020,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,97.0
2023,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,87.4
2020,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,34.0
2024,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Secondary,Percent,Normal value,Units,,59.0
2020,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,39.1
2022,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,Normal value,Units,,42.9
