Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,"1. Figures are for physical or Sexual or physchological from Table 17.13.1 in 2022 KDHS vol 1 report 2.Indicator to be run for physical, sexual and/or psychological IPV (Data request done to Waweru)",KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,,Percent,2022,,32.7
2022,Normal value,Units,"1. Figures are for physical or Sexual or physchological from Table 17.13.1 in 2022 KDHS vol 1 report 2.Indicator to be run for physical, sexual and/or psychological IPV (Data request done to Waweru)",KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,,Percent,2022,,28.1
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Rural,Percent,2022,,32.3
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Rural,Percent,2022,,24.1
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Urban,Percent,2022,,33.7
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,,Urban,Percent,2022,,30.9
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,15 to 19 years old,,Percent,2022,,25.3
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,15 to 19 years old,,Percent,2022,,21.3
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,20 to 24 years old,,Percent,2022,,32.3
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,20 to 24 years old,,Percent,2022,,26.7
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,,Female,25 to 29 years old,,Percent,2022,,34.7
