Year,Age,Degree of urbanisation,Value
2014,,,14.6
2022,,,0.6
2014,,Rural,11.5
2022,,Rural,0.5
2014,,Urban,20.9
2022,,Urban,0.6
2014,15 to 19 years old,,17.0
2022,15 to 19 years old,,0.8
2014,20 to 24 years old,,6.7
2022,20 to 24 years old,,0.8
2014,25 to 29 years old,,29.3
2022,25 to 29 years old,,0.5
2014,30 to 34 years old,,12.5
2022,30 to 34 years old,,0.3
2014,35 to 39 years old,,7.9
2022,35 to 39 years old,,0.3
2014,40 to 44 years old,,14.9
2022,40 to 44 years old,,0.6
2014,45 to 49 years old,,4.7
2022,45 to 49 years old,,0.6
