Year,SERIES,Reference area,Sex,Occupation,UNIT_MEASURE,GeoCode,Value
2014,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,19.8
2015,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,19.8
2016,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,19.8
2017,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,21.5
2018,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,21.8
2019,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,21.8
2020,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,21.5
2021,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,21.5
2022,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,23.2
2023,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,23.5
2024,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,23.6
2014,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,0.0
2015,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,0.0
2016,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,0.0
2017,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,6.4
2018,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,6.4
2019,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,4.3
2020,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,6.4
2021,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,6.4
2022,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,14.9
2023,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,14.9
2024,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Governors,Percent,,14.9
2014,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,19.2
2015,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,19.2
2016,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,19.2
2017,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,14.9
2018,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,14.9
2019,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,17.4
2020,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,16.3
2021,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,16.3
2022,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,17.0
2023,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,17.0
2024,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Deputy Governors,Percent,,19.6
2017,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,33.9
2018,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,34.2
2019,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,33.6
2020,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,33.7
2021,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,33.6
2022,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,33.7
2023,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,33.5
2024,Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],,Female,Members of County Assembly,Percent,,33.4
