Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2014,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,2.2
2015,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,4.2
2016,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,1.9
2017,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,1.5
2018,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,3.1
2019,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,2.5
2020,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,-2.8
2021,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,5.6
2022,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,3.0
2023,Annual growth rate of real GDP per capita [8.1.1],,Percent,Normal value,Units,2023,Economic Survey,,3.7
