Year,Sex,Age,Degree of urbanisation,Value
2016,,,,75.3
2018,,,,81.0
2019,,,,82.9
2021,,,,83.7
2016,,,Rural,69.0
2019,,,Rural,77.3
2021,,,Rural,79.2
2016,,,Urban,86.3
2019,,,Urban,91.2
2021,,,Urban,91.7
2016,,56 years old and over,,62.2
2019,,56 years old and over,,73.9
2021,,56 years old and over,,78.9
2016,,18-25,,69.4
2019,,18-25,,75.5
2021,,18-25,,71.8
2016,,26-35,,82.5
2019,,26-35,,89.0
2021,,26-35,,90.8
2016,,36-45,,81.5
2019,,36-45,,87.8
2021,,36-45,,91.1
2016,,46-55,,78.2
2019,,46-55,,87.5
2021,,46-55,,89.9
2016,Female,,,71.2
2019,Female,,,80.4
2021,Female,,,81.7
2016,Male,,,79.7
2019,Male,,,85.6
2021,Male,,,85.9
