Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.7
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.4
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.3
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.6
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Rural,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.6
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Rural,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.4
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Rural,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.9
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Rural,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.1
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Urban,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.7
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Urban,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,12.2
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Urban,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.3
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,,Urban,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,8.7
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,15 to 19 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,17.3
