Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,COMMENT_OBS,GeoCode,Value
2014,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,-18.7
2015,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,5.4
2016,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,6.9
2017,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,9.4
2018,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,15.6
2019,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,14.3
2020,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,-47.7
2021,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,52.6
2022,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,26.8
2023,Tourism direct GDP in growth rate,,Percent,Normal value,Units,2023,Economic Survey,,,33.6
2014,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,0.9
2015,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,0.9
2016,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,0.9
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,1.0
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,1.1
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,1.2
2020,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,0.7
2021,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,1.1
2022,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,1.1
2023,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Normal value,Units,2023,Economic Survey,Used growth of accommodation and food services activity as a proxy,,1.3
