Year,Unit multiplier,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Observation-level footnotes,Value
2014,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,3715.0
2015,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,2288.0
2016,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,2793.0
2017,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,3096.0
2018,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,4490.0
2019,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,5624.0
2020,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,2705.0
2021,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,6491.0
2022,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,5822.0
2023,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Number,,6183.0
2014,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,1509.0
2015,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,1542.0
2016,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,1380.0
2017,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,1147.0
2018,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,3544.0
2019,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,4826.0
2020,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,5063.0
2021,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,6051.0
2022,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,6877.0
2023,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Rail,Metric Tons,,7534.0
2014,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,8882.0
2015,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,8993.2
2016,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,9791.9
2017,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,10118.2
2018,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,11721.7
2019,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,12011.0
2020,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,4450.1
2021,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,6703.0
2022,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,10239.0
2023,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Number,,12206.0
2014,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Air,Metric Tons,,279.4
