Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2014,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,12.4
2015,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,14.5
2016,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,13.0
2017,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,12.6
2018,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,13.2
2019,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,13.4
2020,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,15.1
2021,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,15.2
2022,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,19.4
2023,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,Normal value,Units,2023,KNBS : National Accounts,,23.7
