Year,Value,SERIES
2014,15.6,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2015,15.3,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2016,14.3,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2017,16.0,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2018,14.5,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2019,15.5,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2020,17.9,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2021,16.3,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2022,15.9,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2023,18.4,"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]"
2014,2.5,"Proportion of total government spending on essential services, health [1.a.2]"
2015,1.7,"Proportion of total government spending on essential services, health [1.a.2]"
2016,2.5,"Proportion of total government spending on essential services, health [1.a.2]"
2017,2.4,"Proportion of total government spending on essential services, health [1.a.2]"
2018,3.2,"Proportion of total government spending on essential services, health [1.a.2]"
2019,3.5,"Proportion of total government spending on essential services, health [1.a.2]"
2020,4.0,"Proportion of total government spending on essential services, health [1.a.2]"
2021,3.3,"Proportion of total government spending on essential services, health [1.a.2]"
2022,2.9,"Proportion of total government spending on essential services, health [1.a.2]"
2023,2.8,"Proportion of total government spending on essential services, health [1.a.2]"
2014,2.9,"Proportion of total government spending on essential services, social protection [1.a.2]"
2015,3.7,"Proportion of total government spending on essential services, social protection [1.a.2]"
2016,3.7,"Proportion of total government spending on essential services, social protection [1.a.2]"
2017,3.8,"Proportion of total government spending on essential services, social protection [1.a.2]"
2018,4.5,"Proportion of total government spending on essential services, social protection [1.a.2]"
2019,4.9,"Proportion of total government spending on essential services, social protection [1.a.2]"
2020,5.6,"Proportion of total government spending on essential services, social protection [1.a.2]"
2021,5.8,"Proportion of total government spending on essential services, social protection [1.a.2]"
2022,5.8,"Proportion of total government spending on essential services, social protection [1.a.2]"
2023,5.5,"Proportion of total government spending on essential services, social protection [1.a.2]"
