Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,19.9,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2015,19.5,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2016,19.1,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2017,18.8,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2018,26.1,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2019,25.5,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2020,43.0,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2021,46.8,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2022,52.1,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2023,51.1,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2024,49.3,,Normal value,Units,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
