Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,3151,,Per million population,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
2018,3019,,Per million population,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
2019,2759,,Per million population,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
2021,2399,,Per million population,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
2015,1500000,,Number,"Number of deaths, missing persons and directly affected persons attributed to disasters"
2018,1401058,,Number,"Number of deaths, missing persons and directly affected persons attributed to disasters"
2019,1313374,,Number,"Number of deaths, missing persons and directly affected persons attributed to disasters"
2021,1192393,,Number,"Number of deaths, missing persons and directly affected persons attributed to disasters"
2023,655327,,Number,"Number of deaths, missing persons and directly affected persons attributed to disasters"
2024,471238,,Number,"Number of deaths, missing persons and directly affected persons attributed to disasters"
2018,187,,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2019,305,,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2021,139,,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2023,151,,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2024,146,,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,56,,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,82,,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2021,17,,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2024,188,,Number,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,17,,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2021,1,,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,269515,,Number,Number of persons displaced attributed to disasters
2019,396855,,Number,Number of persons displaced attributed to disasters
2021,158472,,Number,Number of persons displaced attributed to disasters
2023,109581,,Number,Number of persons displaced attributed to disasters
2024,58641,,Number,Number of persons displaced attributed to disasters
2018,1131300,,Number,Number of directly affected persons attributed to disasters
2019,916115,,Number,Number of directly affected persons attributed to disasters
2021,1033764,,Number,Number of directly affected persons attributed to disasters
2023,545595,,Number,Number of directly affected persons attributed to disasters
2024,412263,,Number,Number of directly affected persons attributed to disasters
2018,269515,,Number,Number of households displaced as a result of disaster
2019,396855,,Number,Number of households displaced as a result of disaster
2021,158472,,Number,Number of households displaced as a result of disaster
2023,109581,,Number,Number of households displaced as a result of disaster
2024,58641,,Number,Number of households displaced as a result of disaster
2018,1131300,,Number,Number of households affected by disaster
2019,916115,,Number,Number of households affected by disaster
2021,1033764,,Number,Number of households affected by disaster
2023,545595,,Number,Number of households affected by disaster
2024,412263,,Number,Number of households affected by disaster
2018,187,,Number,"Number of deaths from disaster per 100,000 people"
2019,305,,Number,"Number of deaths from disaster per 100,000 people"
2021,139,,Number,"Number of deaths from disaster per 100,000 people"
2023,175,,Number,"Number of deaths from disaster per 100,000 people"
2024,315,,Number,"Number of deaths from disaster per 100,000 people"
