Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2015,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2016,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2017,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2018,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2019,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2020,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2021,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2022,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2023,38.512,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2024,38.52,,Normal value,Units,Percent,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
