Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2015,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2016,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2017,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2018,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2019,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2020,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2021,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2022,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
2023,1,,Boolean or binary measure,Countries that adopt and implement investment promotion regimes for least developed countries  (1 = YES; 0 = NO) [17.5.1]
