Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,74.9,,Percent,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1]
2015,79.5,,Percent,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1]
2016,78.3,,Percent,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1]
2017,68.4,,Percent,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1]
2018,81.6,,Percent,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1]
2022,89.2,,Percent,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1]
2022,66.8,,Percent,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1]
2022,91.2,,Percent,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1]
2014,79.4,,Percent,Proportion of the target population covered by all vaccines included in their national programme [3.b.1]
2022,80.1,,Percent,Proportion of the target population covered by all vaccines included in their national programme [3.b.1]
