Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,91,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2016,95,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2017,95,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2018,95,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2019,96,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2020,96,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2021,96,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2022,96,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2023,97,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2024,98,,Normal value,Units,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2014,61,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2016,78,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2017,85,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2018,86,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2019,93,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2020,94,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2021,95,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2022,98,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2023,98,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2024,98,,Normal value,Units,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2017,25,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2018,35,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2019,57,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2020,77,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2021,94,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2022,97,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2023,98,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2024,97,,Normal value,Units,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
