Year,SOURCE_DETAIL,SERIES,UNIT_MEASURE,COMMENT_OBS,Value
2014,Economic Survey,_L_KE_171301_01,PT,,2.3
2015,Economic Survey,_L_KE_171301_01,PT,,2.4
2016,Economic Survey,_L_KE_171301_01,PT,,2.5
2017,Economic Survey,_L_KE_171301_01,PT,,2.4
2018,Economic Survey,_L_KE_171301_01,PT,,3.0
2019,Economic Survey,_L_KE_171301_01,PT,,2.8
2020,Economic Survey,_L_KE_171301_01,PT,,3.1
2021,Economic Survey,_L_KE_171301_01,PT,,3.4
2022,Economic Survey,_L_KE_171301_01,PT,,3.6
2023,Economic Survey,_L_KE_171301_01,PT,,3.9
2014,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-10.4
2015,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-6.9
2016,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-5.8
2017,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-7.0
2018,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-5.4
2019,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-5.2
2020,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-4.8
2021,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-5.2
2022,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-5.2
2023,Economic Survey,BN_CAB_XOKA_GD_ZS,PT,,-4.0
2014,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,1.3
2015,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,-0.6
2016,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,-0.5
2017,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,-1.5
2018,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,-0.8
2019,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,-0.4
2020,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,-0.6
2021,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,-0.1
2022,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,0.7
2023,Economic Survey,BX_KLT_DINV_WD_GD_ZS,PT,BOP,0.7
2014,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,-3716.9
2015,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,155.1
2016,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,377.5
2017,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,731.1
2018,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,-649.0
2019,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,-458.1
2020,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,1313.3
2021,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,203.6
2022,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,706.7
2023,Economic Survey,BN_KLT_PTXL_CD,USD,BOP,645.5
2014,CBK,_L_KE_171301_09,MO,,5.0
2015,CBK,_L_KE_171301_09,MO,,4.8
2016,CBK,_L_KE_171301_09,MO,,5.0
2017,CBK,_L_KE_171301_09,MO,,5.0
2018,CBK,_L_KE_171301_09,MO,,5.3
