Year,Sex,Age,Value
2014,,,4.0
2015,,,4.0
2016,,,4.0
2017,,,4.0
2018,,,3.0
2019,,,6.248384
2020,,,6.264142
2021,,,6.600935
2022,,,6.145438
2023,,,5.894157
2019,Female,,4.792894
2020,Female,,4.405851
2021,Female,,3.595199
2022,Female,,3.444525
2023,Female,,3.372303
2019,Male,,7.733122
2020,Male,,8.371228
2021,Male,,9.655695
2022,Male,,8.679838
2023,Male,,8.458162
2019,,under 18 years old,4.502083
2020,,under 18 years old,1.563778
2021,,under 18 years old,1.90473
2022,,under 18 years old,2.068044
2023,,under 18 years old,1.237633
2019,,18-25,9.917627
2020,,18-25,8.839462
2021,,18-25,10.3637
2022,,18-25,10.985157
2023,,18-25,9.58398
2019,,25-59,7.71714
2020,,25-59,10.755018
2021,,25-59,10.167668
2022,,25-59,8.681089
2023,,25-59,9.89239
2019,,60 years old and over,2.84618
2020,,60 years old and over,8.045948
2021,,60 years old and over,10.488346
2022,,60 years old and over,8.630603
2023,,60 years old and over,5.173989
