Year,COMMENT_OBS,SERIES,Value
2014,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,0.9
2015,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,0.9
2016,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,0.9
2017,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,1.0
2018,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,1.1
2019,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,1.2
2020,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,0.7
2021,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,1.1
2022,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,1.1
2023,Used growth of accommodation and food services activity as a proxy,ST_GDP_ZS,1.3
2014,,_L_KE_080901_01,-18.7
2015,,_L_KE_080901_01,5.4
2016,,_L_KE_080901_01,6.9
2017,,_L_KE_080901_01,9.4
2018,,_L_KE_080901_01,15.6
2019,,_L_KE_080901_01,14.3
2020,,_L_KE_080901_01,-47.7
2021,,_L_KE_080901_01,52.6
2022,,_L_KE_080901_01,26.8
2023,,_L_KE_080901_01,33.6
