Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,274.6
2015,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,296.6
2016,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,338.8
2017,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,284.8
2018,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,310.9
2019,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,306.6
2020,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,299.0
2021,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,136.8
2022,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,339.7
2023,A,0,"Refers to Public Expenditure on Recreation, Culture and Religion",GB_XPD_CULNAT_PBPV,,KES,2023,,430.3
