Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,44.0
2016,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,56.6
2017,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,53.6
2018,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,57.4
2019,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,75.2
2020,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,75.2
2021,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,76.7
2022,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,74.3
2023,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,86.0
2024,EN_REF_WASCOL,KE_NBO,CITY,PT,KE_NBO,44.7
2017,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,25.1
2018,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,56.0
2019,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,46.1
2020,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,46.0
2021,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,56.5
2022,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,65.0
2023,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,58.3
2024,EN_REF_WASCOL,KE_MBA,CITY,PT,KE_MBA,62.1
2017,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,30.0
2018,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,30.0
2019,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,30.0
2020,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,30.0
2021,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,30.0
2022,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,30.1
2023,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,30.0
2024,EN_REF_WASCOL,KE_KIS,CITY,PT,KE_KIS,29.3
2022,EN_REF_WASCOL,KE_NUU,CITY,PT,KE_NUU,60.0
2023,EN_REF_WASCOL,KE_NUU,CITY,PT,KE_NUU,60.0
2024,EN_REF_WASCOL,KE_NUU,CITY,PT,KE_NUU,59.3
