Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,ER_PTD_TERR,,PT,,34.576
2015,ER_PTD_TERR,,PT,,34.576
2016,ER_PTD_TERR,,PT,,34.576
2017,ER_PTD_TERR,,PT,,34.576
2018,ER_PTD_TERR,,PT,,34.576
2019,ER_PTD_TERR,,PT,,34.576
2020,ER_PTD_TERR,,PT,,34.577
2021,ER_PTD_TERR,,PT,,34.577
2022,ER_PTD_TERR,,PT,,34.577
2023,ER_PTD_TERR,,PT,,34.577
2024,ER_PTD_TERR,,PT,,34.577
2014,ER_PTD_FRHWTR,,PT,,38.268
2015,ER_PTD_FRHWTR,,PT,,38.268
2016,ER_PTD_FRHWTR,,PT,,38.268
2017,ER_PTD_FRHWTR,,PT,,38.268
2018,ER_PTD_FRHWTR,,PT,,38.268
2019,ER_PTD_FRHWTR,,PT,,38.268
2020,ER_PTD_FRHWTR,,PT,,38.272
2021,ER_PTD_FRHWTR,,PT,,38.272
2022,ER_PTD_FRHWTR,,PT,,38.272
2023,ER_PTD_FRHWTR,,PT,,38.272
2024,ER_PTD_FRHWTR,,PT,,38.272
