Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2014,VC_IHR_PSRC,,,,PER_100000_POP,,4.0
2015,VC_IHR_PSRC,,,,PER_100000_POP,,4.0
2016,VC_IHR_PSRC,,,,PER_100000_POP,,4.0
2017,VC_IHR_PSRC,,,,PER_100000_POP,,4.0
2018,VC_IHR_PSRC,,,,PER_100000_POP,,3.0
2019,VC_IHR_PSRC,,,,PER_100000_POP,,6.248384
2020,VC_IHR_PSRC,,,,PER_100000_POP,,6.264142
2021,VC_IHR_PSRC,,,,PER_100000_POP,,6.600935
2022,VC_IHR_PSRC,,,,PER_100000_POP,,6.145438
2023,VC_IHR_PSRC,,,,PER_100000_POP,,5.894157
2024,VC_IHR_PSRC,,,,PER_100000_POP,,6.0
2019,VC_IHR_PSRC,,F,,PER_100000_POP,,4.792894
2020,VC_IHR_PSRC,,F,,PER_100000_POP,,4.405851
2021,VC_IHR_PSRC,,F,,PER_100000_POP,,3.595199
2022,VC_IHR_PSRC,,F,,PER_100000_POP,,3.444525
2023,VC_IHR_PSRC,,F,,PER_100000_POP,,3.372303
2024,VC_IHR_PSRC,,F,,PER_100000_POP,,3.0
2019,VC_IHR_PSRC,,M,,PER_100000_POP,,7.733122
2020,VC_IHR_PSRC,,M,,PER_100000_POP,,8.371228
2021,VC_IHR_PSRC,,M,,PER_100000_POP,,9.655695
2022,VC_IHR_PSRC,,M,,PER_100000_POP,,8.679838
2023,VC_IHR_PSRC,,M,,PER_100000_POP,,8.458162
2024,VC_IHR_PSRC,,M,,PER_100000_POP,,8.0
2019,VC_IHR_PSRC,,,Y0T17,PER_100000_POP,,4.502083
2020,VC_IHR_PSRC,,,Y0T17,PER_100000_POP,,1.563778
2021,VC_IHR_PSRC,,,Y0T17,PER_100000_POP,,1.90473
2022,VC_IHR_PSRC,,,Y0T17,PER_100000_POP,,2.068044
2023,VC_IHR_PSRC,,,Y0T17,PER_100000_POP,,1.237633
2024,VC_IHR_PSRC,,,Y0T17,PER_100000_POP,,1.0
2019,VC_IHR_PSRC,,,Y18T25,PER_100000_POP,,9.917627
2020,VC_IHR_PSRC,,,Y18T25,PER_100000_POP,,8.839462
2021,VC_IHR_PSRC,,,Y18T25,PER_100000_POP,,10.3637
2022,VC_IHR_PSRC,,,Y18T25,PER_100000_POP,,10.985157
2023,VC_IHR_PSRC,,,Y18T25,PER_100000_POP,,9.58398
2024,VC_IHR_PSRC,,,Y18T25,PER_100000_POP,,11.0
2019,VC_IHR_PSRC,,,Y25T59,PER_100000_POP,,7.71714
2020,VC_IHR_PSRC,,,Y25T59,PER_100000_POP,,10.755018
2021,VC_IHR_PSRC,,,Y25T59,PER_100000_POP,,10.167668
2022,VC_IHR_PSRC,,,Y25T59,PER_100000_POP,,8.681089
2023,VC_IHR_PSRC,,,Y25T59,PER_100000_POP,,9.89239
2024,VC_IHR_PSRC,,,Y25T59,PER_100000_POP,,9.0
2019,VC_IHR_PSRC,,,Y_GE60,PER_100000_POP,,2.84618
2020,VC_IHR_PSRC,,,Y_GE60,PER_100000_POP,,8.045948
2021,VC_IHR_PSRC,,,Y_GE60,PER_100000_POP,,10.488346
2022,VC_IHR_PSRC,,,Y_GE60,PER_100000_POP,,8.630603
2023,VC_IHR_PSRC,,,Y_GE60,PER_100000_POP,,5.173989
2024,VC_IHR_PSRC,,,Y_GE60,PER_100000_POP,,6.0
