Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2014,VC_PRS_UNSNT,,,PT,,56.3
2015,VC_PRS_UNSNT,,,PT,,60.3
2016,VC_PRS_UNSNT,,,PT,,60.8
2017,VC_PRS_UNSNT,,,PT,,61.4
2018,VC_PRS_UNSNT,,,PT,,62.5
2019,VC_PRS_UNSNT,,,PT,,64.7
2020,VC_PRS_UNSNT,,,PT,,66.0
2021,VC_PRS_UNSNT,,,PT,,59.2
2022,VC_PRS_UNSNT,,,PT,,60.8
2023,VC_PRS_UNSNT,,,PT,,67.7
2024,VC_PRS_UNSNT,,,PT,,71.0
2014,VC_PRS_UNSNT,,F,PT,,57.6
2015,VC_PRS_UNSNT,,F,PT,,49.9
2016,VC_PRS_UNSNT,,F,PT,,47.6
2017,VC_PRS_UNSNT,,F,PT,,56.1
2018,VC_PRS_UNSNT,,F,PT,,53.4
2019,VC_PRS_UNSNT,,F,PT,,55.8
2020,VC_PRS_UNSNT,,F,PT,,53.1
2021,VC_PRS_UNSNT,,F,PT,,43.7
2022,VC_PRS_UNSNT,,F,PT,,62.1
2023,VC_PRS_UNSNT,,F,PT,,68.8
2024,VC_PRS_UNSNT,,F,PT,,72.0
2014,VC_PRS_UNSNT,,M,PT,,56.2
2015,VC_PRS_UNSNT,,M,PT,,61.6
2016,VC_PRS_UNSNT,,M,PT,,62.2
2017,VC_PRS_UNSNT,,M,PT,,61.9
2018,VC_PRS_UNSNT,,M,PT,,63.5
2019,VC_PRS_UNSNT,,M,PT,,65.7
2020,VC_PRS_UNSNT,,M,PT,,67.3
2021,VC_PRS_UNSNT,,M,PT,,60.7
2022,VC_PRS_UNSNT,,M,PT,,49.3
2023,VC_PRS_UNSNT,,M,PT,,55.4
2024,VC_PRS_UNSNT,,M,PT,,62.0
