Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2015,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2016,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2017,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2018,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2019,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2020,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2021,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,72.7
2022,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,72.7
2023,SG_INT_MBRDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2014,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2015,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2016,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2017,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2018,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2019,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2020,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2021,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,72.7
2022,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,72.7
2023,SG_INT_VRTDEV,,PT,A,0,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
