Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,TX_EXP_GBSVR,,KES,A,6,2024,,537236.0
2015,TX_EXP_GBSVR,,KES,A,6,2024,,581045.0
2016,TX_EXP_GBSVR,,KES,A,6,2024,,578067.0
2017,TX_EXP_GBSVR,,KES,A,6,2024,,597904.0
2018,TX_EXP_GBSVR,,KES,A,6,2024,,614316.0
2019,TX_EXP_GBSVR,,KES,A,6,2024,,596677.0
2020,TX_EXP_GBSVR,,KES,A,6,2024,,643706.2
2021,TX_EXP_GBSVR,,KES,A,6,2024,,743671.1
2022,TX_EXP_GBSVR,,KES,A,6,2024,,873144.6
2023,TX_EXP_GBSVR,,KES,A,6,2024,,1007919.3
2024,TX_EXP_GBSVR,,KES,A,6,2024,,1112310.3
