Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2015,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2016,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2017,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2018,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2019,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2020,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2021,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2022,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
2023,A,0,"Statistics Act, 2006",KNBS,SG_STT_FPOS,,BOOL,2023,,1
