Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,UNIT_MEASURE,Value
2014,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,70.2
2015,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,65.8
2016,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,64.1
2017,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,60.9
2018,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,73.4
2019,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,76.2
2020,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,79.9
2021,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,83.2
2022,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,80.6
2023,Birth registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,76.6
2014,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,45.8
2015,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,45.2
2016,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,41.9
2017,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,41.2
2018,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,40.5
2019,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,39.1
2020,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,42.3
2021,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,52.3
2022,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,47.6
2023,Death registration,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,45.2
2014,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2015,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2016,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2017,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2018,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2019,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2020,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2021,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2022,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2023,KPHC conducted in 2009 and 2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
