Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2016,SN_ITK_DEFC,,,PT,A,0,,24.2
2019,SN_ITK_DEFC,,,PT,A,0,,30.5
2020,SN_ITK_DEFC,,,PT,A,0,,34.4
2021,SN_ITK_DEFC,,,PT,A,0,,30.5
2022,SN_ITK_DEFC,,,PT,A,0,,31.7
2019,SN_ITK_DEFC,,R,PT,A,0,,34.0
2020,SN_ITK_DEFC,,R,PT,A,0,,35.1
2021,SN_ITK_DEFC,,R,PT,A,0,,32.2
2022,SN_ITK_DEFC,,R,PT,A,0,,33.2
2019,SN_ITK_DEFC,,U,PT,A,0,,22.5
2020,SN_ITK_DEFC,,U,PT,A,0,,33.0
2021,SN_ITK_DEFC,,U,PT,A,0,,26.8
2022,SN_ITK_DEFC,,U,PT,A,0,,28.6
